vx11-switch-test  | INFO:     Started server process [1]
vx11-switch-test  | INFO:     172.18.0.3:56608 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:43100 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:54592 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:53726 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:43838 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:50252 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:36522 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:51886 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:60930 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36074 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:34968 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52588 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:58490 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:42660 - "POST /switch/task HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:42666 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57592 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:50100 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:50170 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:47934 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:34126 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:39066 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:43164 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:36754 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52566 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:42804 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36298 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:43896 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:34114 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:57840 - "POST /switch/task HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:57856 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:57860 - "POST /switch/task HTTP/1.1" 200 OK
