vx11-switch-test  | INFO:     127.0.0.1:38426 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:50370 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:39420 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:45982 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57974 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:36048 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52144 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:40626 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48314 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:45714 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:49274 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:52018 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:41500 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:45920 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:34976 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:42164 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47826 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:38712 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:49108 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:40618 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48910 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:54062 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36184 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:45212 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:49996 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:37970 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52934 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:39570 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:45364 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:60516 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:54802 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:34286 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47702 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:56560 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57530 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:34682 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:46146 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:58006 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47430 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:52356 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48220 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:50954 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:59998 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:55668 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:37316 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:38782 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:37492 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:33382 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48706 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:32932 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:45870 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:53782 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:58788 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:49304 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:39592 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:54972 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:50080 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:57542 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48020 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:57288 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48878 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:52536 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48444 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:54958 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:35356 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:34898 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:39782 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:33144 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:33790 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:40694 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:56852 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:59248 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:38262 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:33438 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:34938 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:46506 - "GET /health HTTP/1.1" 200 OK
